бл_стать;блистать;блистать;блестать;
бл_стящий;блестящий;блестящий;блистящий;
выж_гший;выжегший;выжегший;выжигший;
выж_чь;выжечь;выжечь;выжичь;
вым_кнуть ;вымокнуть ;вымокнуть ;вымакнуть ;
выпл_влять;выплавлять;выплавлять;выпловлять;
выр_внять;выровнять;выровнять;выравнять;
выр_щивать;выращивать;выращивать;вырощивать;
выск_чка;выскочка;выскочка;выскачка;
выч_сть;вычесть;вычесть;вычисть;
выч_т;вычет;вычет;вычит;
выч_тать;вычитать;вычитать;вычетать;
выч_ты;вычеты;вычеты;вычиты;
г_релка;горелка;горелка;гарелка;
г_релый;горелый;горелый;гарелый;
з_рница;зарница;зарница;зорница;
з_ря;заря;заря;зоря;
забл_стел;заблестел;заблестел;заблистел;
заг_релый;загорелый;загорелый;загарелый;
заг_реть;загореть;загореть;загареть;
зад_рать;задирать;задирать;задерать;
закл_натель;заклинатель;заклинатель;закленатель;
зам_рать;замирать;замирать;замерать;
зан_мать;занимать;занимать;занемать;
зап_рать;запирать;запирать;заперать;
зар_внять;заровнять;заровнять;заравнять;
зар_сли;заросли;заросли;зарасли;
заст_лать;застилать;застилать;застелать;
затв_рить;затворить;затворить;затварить;
изб_рать;избирать;избирать;изберать;
изб_ру;изберу;изберу;избиру;
изл_гать;излагать;излагать;излогать;
изл_жение;изложение;изложение;излажение;
к_сательная;касательная;касательная;косательная;
к_саться;касаться;касаться;косаться;
к_снуться;коснуться;коснуться;каснуться;
м_кать;макать;макать;мокать;
наб_рать ;набирать ;набирать ;наберать ;
наб_ру;наберу;наберу;набиру;
накл_ниться;наклониться;наклониться;накланиться;
нан_мать;нанимать;нанимать;нанемать;
нар_стить;нарастить;нарастить;наростить;
нач_нать;начинать;начинать;наченать;
непром_каемый;непромокаемый;непромокаемый;непромакаемый;
неср_вненный;несравненный;несравненный;несровненный;
обл_гать;облагать;облагать;облогать;
обл_жение;обложение;обложение;облажение;
обм_кнуть;обмакнуть;обмакнуть;обмокнуть;
обм_нать;обминать;обминать;обменать;
обт_рать;обтирать;обтирать;обтерать;
